place_id,category,subcategory,keyword,name,address,phone,hours
1714083222,한식,찜닭,동대문구 찜닭 배달 맛집,거거다황먼지 본점,서울 동대문구 안암로24길 9 1층,02-926-5888,영업 종료 11:00에 영업 시작 11시 0분에 영업 시작 펼쳐보기
31964075,한식,찜닭,은평구 찜닭 배달 맛집,대성이네,서울 은평구 은평로13길 11 1층 대성이네,0507-1440-9151,오늘 휴무 05/10 휴무 05/10 휴무 펼쳐보기
18136742,한식,찜닭,은평구 찜닭 배달 맛집,안동유진찜닭 연신내점,서울 은평구 연서로29길 7-23,0507-1449-7201,영업 중 24:00에 영업 종료 0시 0분에 영업 종료 펼쳐보기
1480019975,한식,찜닭,은평구 찜닭 배달 맛집,동궁찜닭 은평연신내점,서울 은평구 연서로29길 14-12 2층 동궁찜닭 은평점,0507-1421-3383,영업 종료 10:00에 영업 시작 10시 0분에 영업 시작 펼쳐보기
1443823691,한식,찜닭,은평구 찜닭 배달 맛집,담꾹 은평신사점밀키트,서울 은평구 은평터널로 196 1층 담꾹 은평신사점,0507-1471-0912,24시간 영업 연중무휴 연중무휴 펼쳐보기
37943902,한식,찜닭,은평구 찜닭 배달 맛집,웅추,서울 은평구 연서로27길 9,02-355-0044,정보 수정 영업시간 수정 제안하기 추가
1735464817,한식,찜닭,은평구 찜닭 배달 맛집,두찜 은평응암점,서울 은평구 응암로14길 4,02-304-1835,영업 종료 11:00에 영업 시작 11시 0분에 영업 시작 펼쳐보기
33093065,한식,찜닭,서대문구 찜닭 배달 맛집,대포찜닭 신촌본점,서울 서대문구 연세로 27-1 대성빌딩 3층,0507-1401-6633,오늘 휴무 매주 일요일 휴무 매주 일요일 휴무 펼쳐보기
1282502996,한식,찜닭,서대문구 찜닭 배달 맛집,인생식당,서울 서대문구 이화여대8길 3 연화프라자 2층,0507-1437-9895,곧 영업 종료 24:00에 영업 종료 0시 0분에 영업 종료 펼쳐보기
1338544907,한식,찜닭,서대문구 찜닭 배달 맛집,봉추찜닭 가재울뉴타운점찜닭,,,
1723589238,한식,찜닭,서대문구 찜닭 배달 맛집,수지상회 신촌점,,,
1223026354,한식,찜닭,서대문구 찜닭 배달 맛집,두찜 서대문남가좌점,,,
1032300072,한식,찜닭,서대문구 찜닭 배달 맛집,두찜 신촌점,,,
1456924414,한식,제육,강남구 제육 배달 맛집,블랙국밥 신사점,,,
1254425064,한식,제육,강남구 제육 배달 맛집,해탄 선릉점,,,
1704274860,한식,제육,강남구 제육 배달 맛집,압구정면옥한식,,,
2007145517,한식,제육,강남구 제육 배달 맛집,고봉당 논현역점,,,
1438058089,한식,제육,마포구 제육 배달 맛집,찌개의정석 마포성산동점,서울 마포구 월드컵북로23길 9,0507-1447-5840,영업 종료 10:40에 영업 시작 10시 40분에 영업 시작 펼쳐보기
37162689,한식,제육,마포구 제육 배달 맛집,들풀한상한식,서울 마포구 동교로 156-5,02-325-7224,오늘 휴무 매주 일요일 휴무 매주 일요일 휴무 펼쳐보기
1352674026,한식,제육,마포구 제육 배달 맛집,집밥김치찌개 본점,서울 마포구 와우산로13길 25 1층 집밥김치찌개,02-332-2866,영업 종료 09:30에 영업 시작 9시 30분에 영업 시작 펼쳐보기
1455299110,한식,제육,마포구 제육 배달 맛집,이수쭈꾸미 홍대점,서울 마포구 와우산로21길 36-6 1층,0507-1354-9594,영업 종료 11:30에 영업 시작 11시 30분에 영업 시작 펼쳐보기
36665426,한식,제육,마포구 제육 배달 맛집,락희옥 마포본점,서울 마포구 백범로 170 공덕더샵아파트 101동 1층 1호,0507-1444-9797,영업 종료 11:00에 영업 시작 11시 0분에 영업 시작 펼쳐보기
1064736730,한식,제육,마포구 제육 배달 맛집,양화주택 홍대,서울 마포구 양화로8길 32-5 1층,0507-1386-7141,영업 종료 내일 휴무 내일 휴무 펼쳐보기
1921716400,한식,제육,강서구 제육 배달 맛집,해탄 발산마곡 본점,서울 강서구 마곡중앙6로 85 2층 201호 해탄 발산마곡 본점,0507-1329-7040,영업 종료 11:00에 영업 시작 11시 0분에 영업 시작 펼쳐보기
1500916502,한식,제육,강서구 제육 배달 맛집,다채우렁돌솥쌈밥한식,서울 강서구 화곡로20길 12 1층 다채,02-2608-0008,오늘 휴무 매달 2번째 일요일 휴무 매달 2번째 일요일 휴무 펼쳐보기
2097721794,한식,제육,강서구 제육 배달 맛집,구대장국밥 본점,"서울 강서구 마곡중앙로 161-8 두산더랜드파크 C동 1층 107,108호",02-3661-9882,오늘 휴무 매주 일요일 휴무 매주 일요일 휴무 펼쳐보기
2048577755,한식,제육,강서구 제육 배달 맛집,곤드레밥상,서울 강서구 공항대로 213 1층 105호,0507-1442-5662,오늘 휴무 매주 일요일 휴무 매주 일요일 휴무 펼쳐보기
1724205754,한식,제육,강서구 제육 배달 맛집,웰빙밥상,서울 강서구 화곡로43길 8 1층,0507-1360-6360,영업 종료 11:00에 영업 시작 11시 0분에 영업 시작 펼쳐보기
1816183194,한식,제육,양천구 제육 배달 맛집,시우네2.5닭갈비 목동점한식,서울 양천구 은행정로4길 20,02-2062-4044,오늘 휴무 매주 일요일 휴무 매주 일요일 휴무 펼쳐보기
1015407638,한식,제육,양천구 제육 배달 맛집,소소연,서울 양천구 목동중앙로 43 글로리파크 1층 102호 소소연,,오늘 휴무 매주 일요일 휴무 매주 일요일 휴무 펼쳐보기
1971047556,한식,제육,양천구 제육 배달 맛집,오봉집 오목교점,"서울 양천구 오목로 337-10 201호,202호",0507-1437-8334,영업 종료 내일 휴무 내일 휴무 펼쳐보기
1665997398,한식,제육,양천구 제육 배달 맛집,순백회관 목동본점,"서울 양천구 오목로 337-20 1층, 2층",02-2646-4885,24시간 영업 펼쳐보기
1515832558,한식,제육,양천구 제육 배달 맛집,남춘네숯불닭갈비 염창직영점,서울 양천구 목동중앙북로 100 1층 남춘네숯불닭갈비 염창직영점,0507-1312-2668,곧 영업 종료 24:00에 영업 종료 0시 0분에 영업 종료 펼쳐보기
2087783356,한식,제육,양천구 제육 배달 맛집,행복한우동가게 신정네거리역점분식,서울 양천구 중앙로 257 1층,02-2601-9980,영업 중 다음 날 02:00에 라스트오더 다음 날 2시 0분에 라스트오더 펼쳐보기
11722122,한식,제육,종로구 제육 배달 맛집,평안도만두집한식,서울 종로구 새문안로3길 30 지하104호 평안도만두집,02-723-6592,오늘 휴무 매주 일요일 휴무 매주 일요일 휴무 펼쳐보기
1044037751,한식,제육,종로구 제육 배달 맛집,고봉당 혜화대학로본점,서울 종로구 대명1길 8 1층 고봉당 혜화대학로점,0507-1396-7864,영업 종료 11:30에 영업 시작 11시 30분에 영업 시작 펼쳐보기
1883490486,한식,제육,종로구 제육 배달 맛집,서울88맥주 본점,서울 종로구 율곡로8길 102 1층 서울88맥주,02-744-4440,곧 영업 종료 24:00에 영업 종료 0시 0분에 영업 종료 펼쳐보기
1553128783,한식,제육,종로구 제육 배달 맛집,육결 종로본점,서울 종로구 삼일대로15길 22 지상1층~지상2층,0507-1385-0682,오늘 휴무 매주 일요일 휴무 매주 일요일 휴무 펼쳐보기
1407678373,한식,제육,종로구 제육 배달 맛집,꿀밥상한정식,서울 종로구 삼청로 101 1층,0507-1417-9801,영업 종료 11:00에 영업 시작 11시 0분에 영업 시작 펼쳐보기
1871661713,한식,제육,종로구 제육 배달 맛집,신사동인동 안녕인사동점,"서울 종로구 인사동길 49 인싸골 4층 407, 408호",0507-1353-1240,오늘 휴무 매주 일요일 휴무 매주 일요일 휴무 펼쳐보기
16079860,한식,제육,중구 제육 배달 맛집,동소예생선구이,,042-253-0606,곧 영업 종료 24:00에 영업 종료 0시 0분에 영업 종료 펼쳐보기
1543732192,한식,제육,중구 제육 배달 맛집,골목집,,,오늘 휴무 매주 일요일 휴무 매주 일요일 휴무 펼쳐보기
2047467333,한식,제육,중구 제육 배달 맛집,국밥한그릇 그리고 냉면,,0507-1493-0029,영업 종료 11:00에 영업 시작 11시 0분에 영업 시작 펼쳐보기
38737220,한식,제육,중구 제육 배달 맛집,한신포차 대전 대흥점포장마차,,042-223-1232,영업 중 다음 날 03:00에 영업 종료 다음 날 3시 0분에 영업 종료 펼쳐보기
1806242066,한식,제육,중구 제육 배달 맛집,강다짐 삼각김밥 대전태평점,,042-385-3040,영업 종료 10:00에 영업 시작 10시 0분에 영업 시작 펼쳐보기
1643126568,한식,제육,중구 제육 배달 맛집,한솥도시락 대전목동점,,042-222-6661,영업 종료 09:00에 영업 시작 9시 0분에 영업 시작 펼쳐보기
2026560992,한식,제육,용산구 제육 배달 맛집,고봉당 용산점,서울 용산구 한강대로54길 3 1층,0507-1490-9327,영업 종료 11:30에 영업 시작 11시 30분에 영업 시작 펼쳐보기
1093699925,한식,제육,용산구 제육 배달 맛집,부국정,서울 용산구 한강대로62가길 8-2 1층,0507-1316-6036,영업 종료 10:00에 영업 시작 10시 0분에 영업 시작 펼쳐보기
36061778,한식,제육,용산구 제육 배달 맛집,솜씨 이촌,서울 용산구 이촌로65가길 78 2층,02-793-3888,영업 종료 11:30에 영업 시작 11시 30분에 영업 시작 펼쳐보기
1771590874,한식,제육,용산구 제육 배달 맛집,정현이네 용산본점,서울 용산구 새창로 115 1층,0507-1340-1112,영업 종료 11:30에 영업 시작 11시 30분에 영업 시작 펼쳐보기
