place_id,route_id,tier,segment,name,address,phone,subcategory,keyword
78071229,Route 1 (강남구 밀집),Tier 1 (High),8. 한식 (해물 찌개・탕 전문점),배가네 목포집,서울 강남구 강남대로152길 18 선안빌딩 2층,0507-1305-3229,동태탕,강남구 동태탕 배달 맛집
13348519,Route 1 (강남구 밀집),Tier 1 (High),1. 일식 (선술집),타이쇼,서울 강남구 강남대로42길 16,0507-1455-2453,이자카야,강남구 이자카야 배달 맛집
1506437174,Route 1 (강남구 밀집),Tier 1 (High),8. 한식 (해물 찌개・탕 전문점),찬란한아구 강남본점,서울 강남구 강남대로78길 12 2층 찬란한아구 강남본점,0507-1361-2929,동태탕,강남구 동태탕 배달 맛집
2044712937,Route 1 (강남구 밀집),Tier 1 (High),8. 한식 (해물 찌개・탕 전문점),두툼해 도곡,서울 강남구 남부순환로 2806 지하1층,0507-1340-2110,동태탕,강남구 동태탕 배달 맛집
1725612670,Route 1 (강남구 밀집),Tier 1 (High),1. 일식 (선술집),이자카야 찬,서울 강남구 논현로 634 지상1~2층,0507-1410-4565,이자카야,강남구 이자카야 배달 맛집
31202538,Route 1 (강남구 밀집),Tier 1 (High),1. 일식 (선술집),미카 압구정점,서울 강남구 논현로 841 105호,0507-1441-6557,이자카야,강남구 이자카야 배달 맛집
1635000652,Route 1 (강남구 밀집),Tier 1 (High),3. 일식 (우동・소바),아부라소바 하나레,서울 강남구 논현로167길 16 지상1층 106호,0507-1371-0893,소바,강남구 소바 배달 맛집
1719067822,Route 1 (강남구 밀집),Tier 1 (High),1. 일식 (선술집),육회천지 신사점,서울 강남구 도산대로8길 9 1층,0507-1327-6302,이자카야,강남구 이자카야 배달 맛집
1248034794,Route 1 (강남구 밀집),Tier 1 (High),3. 일식 (우동・소바),초이다이닝 강남점,서울 강남구 봉은사로2길 7 지상2층 202호,0507-1392-2101,소바,강남구 소바 배달 맛집
1143307364,Route 1 (강남구 밀집),Tier 1 (High),3. 일식 (우동・소바),돈카춘 대치점돈가스,서울 강남구 삼성로 155 1층 110호,02-501-5184,소바,강남구 소바 배달 맛집
1805562801,Route 1 (강남구 밀집),Tier 2 (Medium),2. 일식 (정식・초밥),감탄성신 강남본점,서울 강남구 강남대로106길 14 지상1층 감탄성신,02-555-1516,초밥,강남구 초밥 배달 맛집
1450154270,Route 1 (강남구 밀집),Tier 2 (Medium),7. 한식 (일반 찌개・탕 전문점),원조감자탕 일미집 역삼점감자탕,서울 강남구 논현로 409 1층,02-556-5501,백반,강남구 백반 배달 맛집
1320231021,Route 1 (강남구 밀집),Tier 2 (Medium),2. 일식 (정식・초밥),우제홍초밥 학동역점,서울 강남구 논현로131길 7 1층 우제홍 초밥,0507-1393-1385,라멘,강남구 라멘 배달 맛집
1186508365,Route 1 (강남구 밀집),Tier 2 (Medium),2. 일식 (정식・초밥),키세카츠 신사역점,서울 강남구 논현로149길 52 1층 101호,0507-1434-9179,돈카츠,강남구 돈카츠 배달 맛집
18466341,Route 1 (강남구 밀집),Tier 2 (Medium),7. 한식 (일반 찌개・탕 전문점),한티옥한식,서울 강남구 도곡로 418 강원빌딩,02-552-5289,국밥,강남구 국밥 배달 맛집
1085392442,Route 1 (강남구 밀집),Tier 2 (Medium),7. 한식 (일반 찌개・탕 전문점),논현삼계탕 본점,서울 강남구 도산대로 167,,찜닭,강남구 찜닭 배달 맛집
1454592509,Route 1 (강남구 밀집),Tier 2 (Medium),7. 한식 (일반 찌개・탕 전문점),장독대김치찌개 청담점,"서울 강남구 도산대로94길 33 1층 101호, 103호",0507-1472-7764,찌개,강남구 찌개 배달 맛집
2029656160,Route 1 (강남구 밀집),Tier 2 (Medium),2. 일식 (정식・초밥),초밥에진심 회전초밥 강남자곡점,"서울 강남구 밤고개로 227 B동 103호, 104호",0507-1424-7669,초밥,강남구 초밥 배달 맛집
1140457674,Route 1 (강남구 밀집),Tier 2 (Medium),7. 한식 (일반 찌개・탕 전문점),굴다리식당 강남점,서울 강남구 봉은사로 117 1층,02-511-5340,김치찌개,강남구 김치찌개 배달 맛집
1587497383,Route 1 (강남구 밀집),Tier 2 (Medium),2. 일식 (정식・초밥),후토시 대치본점,서울 강남구 삼성로 212 은마종합상가 A블럭 지하40호,0507-1496-0457,초밥,강남구 초밥 배달 맛집
1336299902,Route 2 (서초구 밀집),Tier 1 (High),8. 한식 (해물 찌개・탕 전문점),보승회관 논현역점,서울 서초구 강남대로 521 1층,0507-1338-6816,국밥,서초구 국밥 배달 맛집
1932467805,Route 2 (서초구 밀집),Tier 1 (High),8. 한식 (해물 찌개・탕 전문점),보글이 생태탕왕코다리 양재역점,서울 서초구 강남대로37길 56-18 서초에메랄드빌딩 1층,0507-1388-7709,동태탕,서초구 동태탕 배달 맛집
1648866258,Route 2 (서초구 밀집),Tier 1 (High),3. 일식 (우동・소바),돈카춘 강남역점돈가스,서울 서초구 강남대로55길 9-7 2층 201호,02-525-5184,소바,서초구 소바 배달 맛집
1395173053,Route 2 (서초구 밀집),Tier 1 (High),1. 일식 (선술집),난바우동&이자카야 방배본점,서울 서초구 동작대로 56 1층,0507-1374-1957,이자카야,서초구 이자카야 배달 맛집
1926988980,Route 2 (서초구 밀집),Tier 1 (High),1. 일식 (선술집),이자카야나무 사당점,"서울 서초구 방배천로2길 25 2층, 3층",0507-1498-6787,이자카야,서초구 이자카야 배달 맛집
1393074049,Route 2 (서초구 밀집),Tier 1 (High),3. 일식 (우동・소바),아소산 겐안일식당,서울 서초구 사평대로56길 7 2층,0507-1330-6659,소바,서초구 소바 배달 맛집
13339617,Route 2 (서초구 밀집),Tier 1 (High),1. 일식 (선술집),무샤,서울 서초구 서래로 33 1층,0507-1410-8886,이자카야,서초구 이자카야 배달 맛집
20112285,Route 2 (서초구 밀집),Tier 1 (High),8. 한식 (해물 찌개・탕 전문점),김영희강남동태찜 이수점,서울 서초구 서초대로 3-4 b1 강남동태,0507-1304-0890,동태탕,서초구 동태탕 배달 맛집
2043690800,Route 2 (서초구 밀집),Tier 1 (High),1. 일식 (선술집),시선 교대점,서울 서초구 서초대로50길 40 지하1층,0507-1411-4225,이자카야,서초구 이자카야 배달 맛집
2029506402,Route 2 (서초구 밀집),Tier 1 (High),8. 한식 (해물 찌개・탕 전문점),대찬횟집 교대점,서울 서초구 서초대로52길 17 지하1층,02-582-8588,동태탕,서초구 동태탕 배달 맛집
964119437,Route 2 (서초구 밀집),Tier 2 (Medium),2. 일식 (정식・초밥),"스시썸초밥,롤",서울 서초구 강남대로 222-4 메디컬빌딩 1층,02-579-0770,초밥,서초구 초밥 배달 맛집
2026037512,Route 2 (서초구 밀집),Tier 2 (Medium),7. 한식 (일반 찌개・탕 전문점),순대일번지 양재점,서울 서초구 남부순환로350길 11 1층 1호,0507-1407-7567,국밥,서초구 국밥 배달 맛집
1123021012,Route 2 (서초구 밀집),Tier 2 (Medium),2. 일식 (정식・초밥),호랑이초밥 양재점,서울 서초구 남부순환로356길 92 102호~103호,0507-1453-0568,초밥,서초구 초밥 배달 맛집
2091920855,Route 2 (서초구 밀집),Tier 2 (Medium),2. 일식 (정식・초밥),연미정 양재시민의숲점,서울 서초구 동산로2길 19 1층,0507-1472-0208,초밥,서초구 초밥 배달 맛집
