place_id,category,subcategory,keyword,name,address,phone,hours
1054909660,일식,라멘,영등포구 라멘 배달 맛집,소노키라멘 영등포점일본식라면,,,
1713305276,일식,라멘,영등포구 라멘 배달 맛집,이와타,,,
1937428754,일식,라멘,영등포구 라멘 배달 맛집,하하코식당 여의도,서울 영등포구 63로 36 리버타워 B1.,0507-1353-5979,영업 종료 10:30에 영업 시작 10시 30분에 영업 시작 펼쳐보기 휴무일 05/24 안내
36636955,일식,라멘,영등포구 라멘 배달 맛집,반샤쿠Japanese dining,서울 영등포구 영중로6길 12 포레스트힐시티,0507-1312-7794,영업 종료 17:00에 영업 시작 17시 0분에 영업 시작 펼쳐보기
36097869,일식,라멘,마포구 라멘 배달 맛집,라멘트럭 상수본점,서울 마포구 독막로14길 31 1층 라멘트럭,02-336-8456,영업 종료 11:00에 영업 시작 11시 0분에 영업 시작 펼쳐보기
1189142297,일식,라멘,마포구 라멘 배달 맛집,후타츠 홍대일본식라면,서울 마포구 와우산로15길 28 1층,,오늘 휴무 매주 월요일 휴무 매주 월요일 휴무 펼쳐보기 휴무일 05/25-05/28 안내
1982628767,일식,라멘,마포구 라멘 배달 맛집,츠케루 공덕점일식당,,,
1854196281,일식,라멘,마포구 라멘 배달 맛집,멘야호타루일본식라면,,,
34228290,일식,라멘,마포구 라멘 배달 맛집,홍대 돈까스 혼가츠,서울 마포구 와우산로21길 36-6 1층 102호,02-322-8850,영업 종료 11:00에 영업 시작 11시 0분에 영업 시작 펼쳐보기
1467566565,일식,라멘,마포구 라멘 배달 맛집,거북이의꿈 본점일본식라면,서울 마포구 성미산로 190-31 지1층,0507-1368-2633,영업 종료 11:30에 영업 시작 11시 30분에 영업 시작 펼쳐보기
1542874651,일식,라멘,강서구 라멘 배달 맛집,큐슈울트라아멘 마곡나루역점,서울 강서구 마곡중앙로 171 1층 102호,0507-1402-3338,영업 종료 11:00에 영업 시작 11시 0분에 영업 시작 펼쳐보기
1466367030,일식,라멘,강서구 라멘 배달 맛집,카메야라멘 본점,서울 강서구 강서로 489-4 2층,0507-1403-3412,영업 종료 11:00에 영업 시작 11시 0분에 영업 시작 펼쳐보기
