place_id,category,subcategory,keyword,name,address,phone,hours
2033725326,한식,비빔밥,송파구 비빔밥 배달 맛집,선주가 방이먹자골목점,서울 송파구 올림픽로32길 22 2층 201호,0507-1449-3997,영업 중 다음 날 02:00에 라스트오더 다음 날 2시 0분에 라스트오더 펼쳐보기
1174650270,한식,비빔밥,송파구 비빔밥 배달 맛집,장옥정한식,"서울 송파구 석촌호수로 174 1층, 2층, 3층",0507-1304-3989,영업 종료 11:00에 영업 시작 11시 0분에 영업 시작 펼쳐보기
1043038008,한식,비빔밥,강동구 비빔밥 배달 맛집,"석촌칼국수보리밥 길동점칼국수,만두",서울 강동구 진황도로 110 1층 101호,0507-1329-8042,영업 종료 10:00에 영업 시작 10시 0분에 영업 시작 펼쳐보기
2029171862,한식,비빔밥,강동구 비빔밥 배달 맛집,고향 엄마손 생바지락 칼국수 강동점,서울 강동구 진황도로 99 109호,0507-1431-6695,영업 종료 11:00에 영업 시작 11시 0분에 영업 시작 펼쳐보기
1102788727,한식,비빔밥,강동구 비빔밥 배달 맛집,너비집한식,서울 강동구 구천면로 436 1층 104호-105호,0507-1346-4084,영업 종료 10:00에 영업 시작 10시 0분에 영업 시작 펼쳐보기
2020655616,한식,비빔밥,강동구 비빔밥 배달 맛집,맷돌집한식,서울 강동구 성안로3길 91 1층,0507-1394-6997,영업 종료 11:00에 영업 시작 11시 0분에 영업 시작 펼쳐보기
1833158511,한식,비빔밥,영등포구 비빔밥 배달 맛집,함평집 여의도점한식,서울 영등포구 여의나루로 60 B1 132호,0507-1425-2016,영업 종료 10:00에 영업 시작 10시 0분에 영업 시작 펼쳐보기
1284986044,한식,비빔밥,영등포구 비빔밥 배달 맛집,"고향 엄마손 생바지락 칼국수 영등포점칼국수,만두",,,
1118909423,한식,비빔밥,영등포구 비빔밥 배달 맛집,단골손님 영등포점,서울 영등포구 영중로4길 15 2층,0507-1328-2225,영업 중 다음 날 02:30에 라스트오더 다음 날 2시 30분에 라스트오더 펼쳐보기
1416332473,한식,비빔밥,영등포구 비빔밥 배달 맛집,"밀밭칼국수칼국수,만두",서울 영등포구 여의대방로 207 1층,0507-1421-9235,오늘 휴무 매달 2번째 화요일 휴무 매달 2번째 화요일 휴무 펼쳐보기
13157346,한식,비빔밥,영등포구 비빔밥 배달 맛집,라메흐꺄도한식,서울 영등포구 선유로17길 24 신일아르디세 1층,0507-1379-5989,영업 종료 11:00에 영업 시작 11시 0분에 영업 시작 펼쳐보기
